%x,%y,%theta,%velocity,%steering,%label
-9.245785824438836065e-03,9.438119874987452307e-03,-1.335523452898756958e-02,4.419093571349506644e-01,-2.010713172184065093e-03,0.000000000000000000e+00
-9.454014071083750165e-03,9.655427393573810108e-03,-1.379263522179119406e-02,4.198165094402334097e-01,-1.979579678428531209e-03,0.000000000000000000e+00
-8.685192606306639876e-03,8.878740786397807533e-03,-9.382934400268827524e-03,1.000000000000000000e+00,8.378235519114698646e-03,0.000000000000000000e+00
-7.630254515132918469e-03,7.810102288783329037e-03,-7.521224640773538361e-03,1.000000000000000000e+00,3.537233790317447640e-03,0.000000000000000000e+00
-9.641573965281508007e-03,9.855937197589287324e-03,-6.495078112061514197e-03,1.000000000000000000e+00,1.949675934156336809e-03,0.000000000000000000e+00
-1.034677228182596595e-02,1.056605096237222575e-02,-6.859544393708172372e-03,9.558390099820230912e-01,-7.244795480638045043e-04,0.000000000000000000e+00
-9.563332143826590304e-03,9.768174487081979912e-03,-7.317926486259618279e-03,9.080526144446864345e-01,-9.591137065617112017e-04,0.000000000000000000e+00
-8.248116314304054786e-03,8.430489284037811712e-03,-7.642066618515741538e-03,8.626544647942381294e-01,-7.139198506340787252e-04,0.000000000000000000e+00
-1.084720421845606492e-02,1.106692948786070635e-02,-7.682122353392051295e-03,8.195260182529591209e-01,-9.286574721377774920e-05,0.000000000000000000e+00
-1.055105693322059765e-02,1.076403952344388501e-02,-8.249579770670090184e-03,7.785565141931890532e-01,-1.384829982091174624e-03,0.000000000000000000e+00
-1.067891629884647024e-02,1.089250428276415314e-02,-8.751442834474487675e-03,7.396331506946502987e-01,-1.289205725913377667e-03,0.000000000000000000e+00
-1.073622014042351080e-02,1.094996377357029121e-02,-9.264728192654336780e-03,7.026565246198440695e-01,-1.387934958471616917e-03,0.000000000000000000e+00
-1.009628288604430373e-02,1.029783990511441184e-02,-9.781868735754262190e-03,6.675284857223493518e-01,-1.471946655891427994e-03,0.000000000000000000e+00
-1.000555930522967207e-02,1.020552455781677595e-02,-1.020226904249810218e-02,6.341553052054298423e-01,-1.259565525738003729e-03,0.000000000000000000e+00
-1.111271686115514711e-02,1.133614837481339115e-02,-1.062109930960752902e-02,6.024515014376035094e-01,-1.320898101826148245e-03,0.000000000000000000e+00
-1.088103812928291683e-02,1.110097040324043924e-02,-1.122057209955873436e-02,5.723356548814183542e-01,-1.990085341613388997e-03,0.000000000000000000e+00
-1.073689732704386814e-02,1.095558009685029116e-02,-1.178626447083575002e-02,5.437226574125184619e-01,-1.976769021456846465e-03,0.000000000000000000e+00
-1.026155904256220892e-02,1.047144936116080859e-02,-1.233777615050302146e-02,5.165403887553540185e-01,-2.028632758879620867e-03,0.000000000000000000e+00
-1.027275127474898235e-02,1.048581614784320319e-02,-1.282886505166347391e-02,4.907161348346555929e-01,-1.901441019505585323e-03,0.000000000000000000e+00
-1.093558752653372990e-02,1.116923328649698823e-02,-1.333984111636377090e-02,4.661842208602846593e-01,-2.082552510246809315e-03,0.000000000000000000e+00
