x_error,y_error,theta_error,distance_error
2.208919288293031968e-02,2.208919288293037519e-02,3.330669073875469621e-16,3.123883615691534429e-02
2.031419627379660309e-02,2.031419627379665860e-02,3.330669073875469621e-16,2.872861187911218694e-02
1.862077694038544173e-02,1.862077694038549724e-02,4.440892098500626162e-16,2.633375529101731477e-02
1.700518566318842684e-02,1.700518566318848235e-02,4.440892098500626162e-16,2.404896419555362791e-02
6.546384553351286550e-02,6.546384553351292102e-02,-8.881784197001252323e-16,9.257985819859129717e-02
6.169021754872522356e-02,6.169021754872527907e-02,-5.551115123125782702e-16,8.724314232315395767e-02
5.809519337316393361e-02,5.809519337316398913e-02,-2.220446049250313081e-16,8.215901037701603404e-02
5.466539279728327427e-02,5.466539279728332978e-02,-1.110223024625156540e-16,7.730853988637055585e-02
5.139322282526431751e-02,5.139322282526437302e-02,-1.110223024625156540e-16,7.268099273355134449e-02
4.827143889378476826e-02,4.827143889378482378e-02,-1.110223024625156540e-16,6.826612355885457173e-02
4.529312939330643051e-02,4.529312939330648602e-02,0.000000000000000000e+00,6.405415787033347241e-02
4.245170036575823813e-02,4.245170036575829364e-02,0.000000000000000000e+00,6.003577040305421719e-02
3.974086090555550843e-02,3.974086090555556394e-02,1.110223024625156540e-16,5.620206447301936276e-02
3.715460923157537509e-02,3.715460923157543061e-02,1.110223024625156540e-16,5.254455227996653044e-02
3.468721939925206721e-02,3.468721939925212272e-02,1.110223024625156540e-16,4.905513611543343977e-02
3.233322862337240089e-02,3.233322862337245640e-02,2.220446049250313081e-16,4.572609043448324501e-02
3.008742518350465689e-02,3.008742518350471240e-02,3.330669073875469621e-16,4.255004475139813336e-02
2.794483688528281995e-02,2.794483688528287546e-02,2.220446049250313081e-16,3.951996732147092239e-02
2.590072005200044769e-02,2.590072005200050320e-02,3.330669073875469621e-16,3.662914957276784678e-02
2.395054902214088788e-02,2.395054902214094339e-02,3.330669073875469621e-16,3.387119125339335679e-02
2.209000612959177712e-02,2.209000612959183263e-02,3.330669073875469621e-16,3.123998626137353130e-02
2.031497214436006615e-02,2.031497214436012166e-02,3.330669073875469621e-16,2.872970912578568306e-02
1.862151715262339025e-02,1.862151715262344576e-02,4.440892098500626162e-16,2.633480210920325845e-02
1.700589185592599195e-02,1.700589185592604746e-02,4.440892098500626162e-16,2.404996290290074487e-02
6.546451927025626061e-02,6.546451927025631612e-02,-8.881784197001252323e-16,9.258081100623126447e-02
6.169086032112325313e-02,6.169086032112325313e-02,-9.992007221626408864e-16,8.724405134059673439e-02
5.809580660431051813e-02,5.809580660431051813e-02,-6.661338147750939243e-16,8.215987761682036483e-02
5.466597784486820766e-02,5.466597784486820766e-02,-4.440892098500626162e-16,7.730936726859975738e-02
5.139378098457919597e-02,5.139378098457919597e-02,-3.330669073875469621e-16,7.268178209002437717e-02
4.827197140059069635e-02,4.827197140059069635e-02,-2.220446049250313081e-16,6.826687663720153176e-02
4.529363742657011027e-02,4.529363742657011027e-02,-1.110223024625156540e-16,6.405487633786506596e-02
4.245218505026204792e-02,4.245218505026204792e-02,-1.110223024625156540e-16,6.003645585045293970e-02
3.974132331438784416e-02,3.974132331438784416e-02,-1.110223024625156540e-16,5.620271841786136924e-02
3.715505038850641650e-02,3.715505038850641650e-02,-1.110223024625156540e-16,5.254517617008151037e-02
3.468764028100035368e-02,3.468764028100035368e-02,-1.110223024625156540e-16,4.905573133210997666e-02
3.233363016176749039e-02,3.233363016176749039e-02,-1.110223024625156540e-16,4.572665829552735595e-02
3.008780826754986482e-02,3.008780826754986482e-02,-1.110223024625156540e-16,4.255058651405035919e-02
2.794520236312381112e-02,2.794520236312381112e-02,-1.110223024625156540e-16,3.952048418519035766e-02
2.590106873280284550e-02,2.590106873280284550e-02,-1.110223024625156540e-16,3.662964268188750178e-02
2.395088167788173017e-02,2.395088167788173017e-02,-1.110223024625156540e-16,3.387166169965361712e-02
2.209032349676876006e-02,2.209032349676876006e-02,-1.110223024625156540e-16,3.124043508633943256e-02
2.031527492562201775e-02,2.031527492562201775e-02,-1.110223024625156540e-16,2.873013732315272614e-02
1.862180601832608140e-02,1.862180601832608140e-02,-1.110223024625156540e-16,2.633521062699767032e-02
1.700616744561622706e-02,1.700616744561622706e-02,-1.110223024625156540e-16,2.405035264557828234e-02
6.546478219408791155e-02,6.546478219408791155e-02,-1.110223024625156540e-16,9.258118283667982062e-02
6.169111116120784555e-02,6.169111116120784555e-02,-1.110223024625156540e-16,8.724440608204635239e-02
5.809604591600647794e-02,5.809604591600647794e-02,-1.110223024625156540e-16,8.216021605466641842e-02
5.466620615801009997e-02,5.466620615801009997e-02,-1.110223024625156540e-16,7.730969015214149420e-02
5.139399880465078674e-02,5.139399880465078674e-02,-1.110223024625156540e-16,7.268209013412377240e-02
4.827217920984427924e-02,4.827217920984427924e-02,-1.110223024625156540e-16,6.826717052386632734e-02
4.529383568509404157e-02,4.529383568509404157e-02,-1.110223024625156540e-16,6.405515671775845188e-02
4.245237419699943171e-02,4.245237419699943171e-02,-1.110223024625156540e-16,6.003672334433422797e-02
3.974150376810825502e-02,3.974150376810825502e-02,-1.110223024625156540e-16,5.620297361796015162e-02
3.715522254873326879e-02,3.715522254873326879e-02,-1.110223024625156540e-16,5.254541964140922033e-02
3.468780452889530519e-02,3.468780452889530519e-02,-1.110223024625156540e-16,4.905596361371061115e-02
3.233378686097432286e-02,3.233378686097432286e-02,-1.110223024625156540e-16,4.572687990167086797e-02
3.008795776499961772e-02,3.008795776499961772e-02,-1.110223024625156540e-16,4.255079793537133726e-02
2.794534498980294490e-02,2.794534498980283388e-02,-2.109423746787797427e-15,3.952068588977426800e-02
2.590120480448587781e-02,2.590120480448576679e-02,-1.776356839400250465e-15,3.662983511630701905e-02
2.395101149583045430e-02,2.395101149583034328e-02,-1.665334536937734811e-15,3.387184528995726418e-02
2.209044734839926694e-02,2.209044734839915591e-02,-1.443289932012703503e-15,3.124061023899494041e-02
2.031539308514107578e-02,2.031539308514096476e-02,-1.443289932012703503e-15,2.873030442594702583e-02
1.862191874733809538e-02,1.862191874733798436e-02,-1.554312234475219157e-15,2.633537004989525143e-02
1.700627499370244156e-02,1.700627499370233053e-02,-1.554312234475219157e-15,2.405050474154033641e-02
6.546488479935896887e-02,6.546488479935885785e-02,1.110223024625156540e-15,9.258132794244565422e-02
6.169120905083136375e-02,6.169120905083125272e-02,6.661338147750939243e-16,8.724454451887947437e-02
5.809613930670942672e-02,5.809613930670931570e-02,4.440892098500626162e-16,8.216034812906504448e-02
5.466629525655886113e-02,5.466629525655875010e-02,2.220446049250313081e-16,7.730981615651745520e-02
5.139408380830901013e-02,5.139408380830889911e-02,1.110223024625156540e-16,7.268221034745001030e-02
4.827226030680953350e-02,4.827226030680942248e-02,0.000000000000000000e+00,6.826728521229438740e-02
4.529391305491436981e-02,4.529391305491425879e-02,-1.110223024625156540e-16,6.405526613520760859e-02
4.245244801097114440e-02,4.245244801097103338e-02,-2.220446049250313081e-16,6.003682773305403508e-02
3.974157418965507116e-02,3.974157418965496014e-02,-1.110223024625156540e-16,5.620307320906666598e-02
3.715528973376802657e-02,3.715528973376791555e-02,-2.220446049250313081e-16,5.254551465539648858e-02
3.468786862616524136e-02,3.468786862616513034e-02,-3.330669073875469621e-16,4.905605426093898047e-02
3.233384801239036488e-02,3.233384801239025386e-02,-3.330669073875469621e-16,4.572696638283271775e-02
3.008801610595068787e-02,3.008801610595057685e-02,-3.330669073875469621e-16,4.255088044193550134e-02
2.794540064945538749e-02,2.794540064945527647e-02,-4.440892098500626162e-16,3.952076460440962641e-02
2.590125790606978562e-02,2.590125790606967460e-02,-4.440892098500626162e-16,3.662991021328716734e-02
2.395106215691245044e-02,2.395106215691233942e-02,-5.551115123125782702e-16,3.387191693554650329e-02
2.209049568114263007e-02,2.209049568114251905e-02,-5.551115123125782702e-16,3.124067859181611090e-02
2.031543919655420805e-02,2.031543919655409702e-02,-6.661338147750939243e-16,2.873036963733285529e-02
1.862196273951133296e-02,1.862196273951122194e-02,-8.881784197001252323e-16,2.633543226422328451e-02
1.700631696403431814e-02,1.700631696403420712e-02,-9.992007221626408864e-16,2.405056409655289412e-02
6.546492484077159890e-02,6.546492484077148788e-02,1.554312234475219157e-15,9.258138456955444795e-02
6.169124725197605574e-02,6.169124725197594472e-02,8.881784197001252323e-16,8.724459854345638365e-02
5.809617575216319274e-02,5.809617575216308172e-02,5.551115123125782702e-16,8.216039967072005790e-02
5.466633002701182242e-02,5.466633002701171140e-02,2.220446049250313081e-16,7.730986532936361122e-02
5.139411698074269896e-02,5.139411698074258794e-02,1.110223024625156540e-16,7.268225726035562606e-02
4.827229195466742340e-02,4.827229195466731237e-02,0.000000000000000000e+00,6.826732996912424078e-02
4.529394324826474527e-02,4.529394324826463425e-02,-1.110223024625156540e-16,6.405530883505319850e-02
4.245247681666186601e-02,4.245247681666175499e-02,-2.220446049250313081e-16,6.003686847045252434e-02
3.974160167146167932e-02,3.974160167146156830e-02,-1.110223024625156540e-16,5.620311207421029021e-02
3.715531595253507291e-02,3.715531595253496189e-02,-2.220446049250313081e-16,5.254555173433243104e-02
3.468789363994095876e-02,3.468789363994084773e-02,-3.330669073875469621e-16,4.905608963575985165e-02
3.233387187655500927e-02,3.233387187655489825e-02,-3.330669073875469621e-16,4.572700013185801438e-02
3.008803887333932892e-02,3.008803887333932892e-02,1.443289932012703503e-15,4.255091263988537709e-02
2.794542237047492605e-02,2.794542237047492605e-02,1.110223024625156540e-15,3.952079532257012778e-02
2.590127862881053122e-02,2.590127862881053122e-02,8.881784197001252323e-16,3.662993951966825312e-02
2.395108192725436957e-02,2.395108192725436957e-02,7.771561172376095783e-16,3.387194489503225769e-02
2.209051454285715366e-02,2.209051454285715366e-02,6.661338147750939243e-16,3.124070526630867706e-02
2.031545719140104289e-02,2.031545719140104289e-02,5.551115123125782702e-16,2.873039508588938126e-02
1.862197990733094333e-02,1.862197990733094333e-02,4.440892098500626162e-16,2.633545654318669021e-02
1.700633334283607745e-02,1.700633334283607745e-02,3.330669073875469621e-16,2.405058725967655631e-02
6.546494046681794465e-02,6.546494046681794465e-02,3.330669073875469621e-16,9.258140666812120223e-02
6.169126215986309170e-02,6.169126215986309170e-02,2.220446049250313081e-16,8.724461962639250279e-02
5.809618997489696124e-02,5.809618997489696124e-02,1.110223024625156540e-16,8.216041978470312035e-02
5.466634359608124605e-02,5.466634359608124605e-02,1.110223024625156540e-16,7.730988451892568947e-02
5.139412992618963560e-02,5.139412992618963560e-02,1.110223024625156540e-16,7.268227556798233235e-02
4.827230430515305759e-02,4.827230430515305759e-02,1.110223024625156540e-16,6.826734743534859651e-02
4.529395503113298194e-02,4.529395503113298194e-02,1.110223024625156540e-16,6.405532549854534019e-02
4.245248805799983760e-02,4.245248805799983760e-02,1.110223024625156540e-16,6.003688436810522555e-02
