x, y, z, roll, pitch, yaw, time, iteration
8.462327957153320312e+00,6.950555801391601562e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.470557891189040678e-01,7.650140047073364258e+00,1.520000000000000000e+02
8.520967483520507812e+00,6.986156463623046875e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.413020808745551138e-01,7.699939966201782227e+00,1.530000000000000000e+02
8.520967483520507812e+00,6.986156463623046875e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.413020808745551138e-01,7.750015020370483398e+00,1.540000000000000000e+02
8.579059600830078125e+00,7.020967960357666016e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.354191176418049425e-01,7.800083160400390625e+00,1.550000000000000000e+02
8.579059600830078125e+00,7.020967960357666016e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.354191176418049425e-01,7.850147962570190430e+00,1.560000000000000000e+02
8.579059600830078125e+00,7.020967960357666016e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.354191176418049425e-01,7.900027990341186523e+00,1.570000000000000000e+02
8.579059600830078125e+00,7.020967960357666016e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.354191176418049425e-01,7.950090169906616211e+00,1.580000000000000000e+02
8.664857864379882812e+00,7.071517467498779297e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.262459204048376415e-01,7.999961137771606445e+00,1.590000000000000000e+02
8.693397521972656250e+00,7.088095664978027344e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.231523063110743443e-01,8.049966096878051758e+00,1.600000000000000000e+02
8.721277236938476562e+00,7.104175567626953125e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.198792937853722318e-01,8.099920034408569336e+00,1.610000000000000000e+02
8.748976707458496094e+00,7.120030879974365234e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.165235482053409655e-01,8.150298118591308594e+00,1.620000000000000000e+02
8.776502609252929688e+00,7.135664463043212891e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.131142400576956808e-01,8.199903011322021484e+00,1.630000000000000000e+02
8.803858757019042969e+00,7.151078224182128906e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.096538504623885357e-01,8.250187158584594727e+00,1.640000000000000000e+02
8.831047058105468750e+00,7.166274070739746094e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.061391343221012251e-01,8.300034046173095703e+00,1.650000000000000000e+02
8.858071327209472656e+00,7.181253910064697266e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.025655726374170795e-01,8.350206136703491211e+00,1.660000000000000000e+02
8.884934425354003906e+00,7.196019172668457031e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.989285287308304340e-01,8.400043010711669922e+00,1.670000000000000000e+02
8.911640167236328125e+00,7.210571289062500000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.952235127083974286e-01,8.450077056884765625e+00,1.680000000000000000e+02
8.938190460205078125e+00,7.224911689758300781e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.914460598035448879e-01,8.499924182891845703e+00,1.690000000000000000e+02
8.938190460205078125e+00,7.224911689758300781e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.914460598035448879e-01,8.550018072128295898e+00,1.700000000000000000e+02
8.990839004516601562e+00,7.252961635589599609e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.836553743336962641e-01,8.599964141845703125e+00,1.710000000000000000e+02
9.017144203186035156e+00,7.266778469085693359e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.797191052626105789e-01,8.650005102157592773e+00,1.720000000000000000e+02
9.043106079101562500e+00,7.280285358428955078e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.756040270469095166e-01,8.699939012527465820e+00,1.730000000000000000e+02
9.068927764892578125e+00,7.293584823608398438e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.713700229888012072e-01,8.750164031982421875e+00,1.740000000000000000e+02
9.120170593261718750e+00,7.319563388824462891e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.670317565649798608e-01,8.800333976745605469e+00,1.750000000000000000e+02
9.120170593261718750e+00,7.319563388824462891e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.625867436040065894e-01,8.850247144699096680e+00,1.760000000000000000e+02
9.170731544494628906e+00,7.344604969024658203e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.524520335700998874e-01,8.899898052215576172e+00,1.770000000000000000e+02
9.170731544494628906e+00,7.344604969024658203e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.524520335700998874e-01,8.950232982635498047e+00,1.780000000000000000e+02
9.170731544494628906e+00,7.344604969024658203e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.524520335700998874e-01,9.000022172927856445e+00,1.790000000000000000e+02
9.245964050292968750e+00,7.380730628967285156e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.381131136980565000e-01,9.049968957901000977e+00,1.800000000000000000e+02
9.245964050292968750e+00,7.380730628967285156e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.381131136980565000e-01,9.100192070007324219e+00,1.810000000000000000e+02
9.295389175415039062e+00,7.403724670410156250e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.274475204021780939e-01,9.149969100952148438e+00,1.820000000000000000e+02
9.295389175415039062e+00,7.403724670410156250e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.274475204021780939e-01,9.199995994567871094e+00,1.830000000000000000e+02
9.319870948791503906e+00,7.414876937866210938e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.217450712074656827e-01,9.250216007232666016e+00,1.840000000000000000e+02
9.368865966796875000e+00,7.436692714691162109e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.101546272802100712e-01,9.299926042556762695e+00,1.850000000000000000e+02
9.368865966796875000e+00,7.436692714691162109e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.101546272802100712e-01,9.350197076797485352e+00,1.860000000000000000e+02
9.393074989318847656e+00,7.447219371795654297e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.037529701613413180e-01,9.399971008300781250e+00,1.870000000000000000e+02
9.393074989318847656e+00,7.447219371795654297e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,4.037529701613413180e-01,9.450193166732788086e+00,1.880000000000000000e+02
9.441545486450195312e+00,7.467744827270507812e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.907159764100642252e-01,9.500113964080810547e+00,1.890000000000000000e+02
9.441545486450195312e+00,7.467744827270507812e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.907159764100642252e-01,9.550240039825439453e+00,1.900000000000000000e+02
9.513960838317871094e+00,7.496995449066162109e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.695029664475680264e-01,9.600171089172363281e+00,1.910000000000000000e+02
9.513960838317871094e+00,7.496995449066162109e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.695029664475680264e-01,9.650169134140014648e+00,1.920000000000000000e+02
9.537737846374511719e+00,7.506204128265380859e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.608312140535271384e-01,9.700134992599487305e+00,1.930000000000000000e+02
9.561593055725097656e+00,7.515206336975097656e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.521594667657179101e-01,9.749963045120239258e+00,1.940000000000000000e+02
9.585399627685546875e+00,7.523954391479492188e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.430960377726826049e-01,9.799988985061645508e+00,1.950000000000000000e+02
9.609160423278808594e+00,7.532442569732666016e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.335000623887389715e-01,9.849955081939697266e+00,1.960000000000000000e+02
9.632882118225097656e+00,7.540660858154296875e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.232857557319088193e-01,9.900133132934570312e+00,1.970000000000000000e+02
9.656571388244628906e+00,7.548597812652587891e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.123673998553367914e-01,9.950103998184204102e+00,1.980000000000000000e+02
9.656571388244628906e+00,7.548597812652587891e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.123673998553367914e-01,1.000000095367431641e+01,1.990000000000000000e+02
9.727611541748046875e+00,7.570600509643554688e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,2.753455253960844784e-01,1.005020618438720703e+01,2.000000000000000000e+02
9.727611541748046875e+00,7.570600509643554688e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,2.753455253960844784e-01,1.010001707077026367e+01,2.010000000000000000e+02
9.751136779785156250e+00,7.577247142791748047e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,2.586342477897667358e-01,1.015008902549743652e+01,2.020000000000000000e+02
9.774769783020019531e+00,7.583499431610107422e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,2.419229972794637584e-01,1.020019507408142090e+01,2.030000000000000000e+02
9.798415184020996094e+00,7.589334011077880859e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,2.236835789999714330e-01,1.025020813941955566e+01,2.040000000000000000e+02
9.822080612182617188e+00,7.594717502593994141e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,2.032426225345334014e-01,1.029985904693603516e+01,2.050000000000000000e+02
9.822080612182617188e+00,7.594717502593994141e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,2.032426225345334014e-01,1.035018396377563477e+01,2.060000000000000000e+02
9.869503021240234375e+00,7.603917598724365234e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,1.530727328004486687e-01,1.039991497993469238e+01,2.070000000000000000e+02
9.893339157104492188e+00,7.607594966888427734e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,1.261668400773028609e-01,1.045008802413940430e+01,2.080000000000000000e+02
9.940999984741210938e+00,7.612713336944580078e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.881214152853239285e-02,1.050011301040649414e+01,2.090000000000000000e+02
9.940999984741210938e+00,7.612713336944580078e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.881214152853239285e-02,1.055022096633911133e+01,2.100000000000000000e+02
9.988712310791015625e+00,7.612444877624511719e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.389517351494250208e-01,1.060018014907836914e+01,2.110000000000000000e+02
9.988712310791015625e+00,7.612444877624511719e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.389517351494250208e-01,1.065011811256408691e+01,2.120000000000000000e+02
9.988712310791015625e+00,7.612444877624511719e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.389517351494250208e-01,1.070015311241149902e+01,2.130000000000000000e+02
1.001235771179199219e+01,7.609138011932373047e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.384774372437976409e-01,1.075018501281738281e+01,2.140000000000000000e+02
1.003487873077392578e+01,7.601210117340087891e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.380030997003676374e-01,1.079998302459716797e+01,2.150000000000000000e+02
1.007307720184326172e+01,7.572897434234619141e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.006424330601110695e+00,1.085005998611450195e+01,2.160000000000000000e+02
1.008590888977050781e+01,7.552627086639404297e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.324043327861159192e+00,1.090015602111816406e+01,2.170000000000000000e+02
1.008951473236083984e+01,7.504702091217041016e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.966582175256164744e-01,1.095010495185852051e+01,2.180000000000000000e+02
1.008951473236083984e+01,7.504702091217041016e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.966582175256164744e-01,1.100003504753112793e+01,2.190000000000000000e+02
1.012906837463378906e+01,7.478194713592529297e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.283180072281881579e-01,1.105024409294128418e+01,2.200000000000000000e+02
1.012906837463378906e+01,7.478194713592529297e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.283180072281881579e-01,1.109998798370361328e+01,2.210000000000000000e+02
1.015297031402587891e+01,7.486337184906005859e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,7.304853295878221964e-01,1.115023899078369141e+01,2.220000000000000000e+02
1.017177867889404297e+01,7.503185272216796875e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,1.132652567567552948e+00,1.120015001296997070e+01,2.230000000000000000e+02
1.017177867889404297e+01,7.503185272216796875e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,1.132652567567552948e+00,1.125023317337036133e+01,2.240000000000000000e+02
1.018452167510986328e+01,7.550931930541992188e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,1.799409182349294145e+00,1.129998016357421875e+01,2.250000000000000000e+02
1.017885017395019531e+01,7.575307846069335938e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,2.110377499805025092e+00,1.135022616386413574e+01,2.260000000000000000e+02
